#Time	Computed	Exact
6.9	92.0506	90.5812
6.925	95.8249	94.3007
6.95	99.7677	98.1874
6.975	103.885	102.247
7	108.182	106.486
7.025	112.666	110.909
7.05	117.342	115.524
7.075	122.216	120.335
7.1	127.296	125.35
7.125	132.587	130.575
7.15	138.095	136.017
7.175	143.827	141.681
7.2	149.791	147.575
7.225	155.991	153.705
7.25	162.436	160.078
7.275	169.132	166.701
7.3	176.086	173.58
7.325	183.304	180.723
7.35	190.793	188.136
7.375	198.56	195.826
7.4	206.613	203.8
7.425	214.958	212.065
7.45	223.601	220.628
7.475	232.55	229.496
7.5	241.811	238.676
7.525	251.391	248.173
7.55	261.297	257.996
7.575	271.536	268.151
7.6	282.113	278.644
7.625	293.036	289.482
7.65	304.31	300.671
7.675	315.942	312.218
7.7	327.938	324.129
7.725	340.303	336.409
7.75	353.044	349.064
7.775	366.166	362.101
7.8	379.675	375.524
7.825	393.575	389.339
7.85	407.871	403.551
7.875	422.569	418.165
7.9	437.672	433.185
7.925	453.185	448.615
7.95	469.111	464.46
7.975	485.455	480.723
8	502.22	497.408
8.025	519.407	514.518
8.05	537.021	532.055
8.075	555.064	550.021
8.1	573.536	568.42
8.125	592.441	587.252
8.15	611.778	606.519
8.175	631.548	626.221
8.2	651.753	646.359
8.225	672.391	666.933
8.25	693.462	687.942
8.275	714.965	709.386
8.3	736.898	731.262
8.325	759.26	753.57
8.35	782.047	776.306
8.375	805.257	799.467
8.4	828.885	823.051
8.425	852.929	847.053
8.45	877.383	871.469
8.475	902.243	896.293
8.5	927.501	921.521
8.525	953.153	947.145
8.55	979.191	973.159
8.575	1005.61	999.557
8.6	1032.4	1026.33
8.625	1059.55	1053.47
8.65	1087.05	1080.96
8.675	1114.9	1108.81
8.7	1143.08	1136.99
8.725	1171.59	1165.5
8.75	1200.4	1194.33
8.775	1229.52	1223.46
8.8	1258.92	1252.88
8.825	1288.6	1282.59
8.85	1318.54	1312.56
8.875	1348.73	1342.78
8.9	1379.15	1373.23
8.925	1409.78	1403.91
8.95	1440.62	1434.8
8.975	1471.65	1465.88
9	1502.84	1497.13
9.025	1534.19	1528.55
9.05	1565.68	1560.1
9.075	1597.28	1591.78
9.1	1628.98	1623.56
9.125	1660.77	1655.43
9.15	1692.61	1687.36
