#Z	Computed	Exact
-0.05	20	20.0157
-0.049	20.0107	20.0219
-0.048	20.0224	20.0303
-0.047	20.0362	20.0418
-0.046	20.0533	20.0572
-0.045	20.075	20.0778
-0.044	20.1032	20.1053
-0.043	20.1399	20.1416
-0.042	20.1877	20.1894
-0.041	20.2498	20.2518
-0.04	20.3304	20.333
-0.039	20.4341	20.4377
-0.038	20.5671	20.5721
-0.037	20.7366	20.7435
-0.036	20.9513	20.9608
-0.035	21.2217	21.2346
-0.034	21.5603	21.5775
-0.033	21.9816	22.0043
-0.032	22.503	22.5324
-0.031	23.144	23.1818
-0.03	23.9278	23.9757
-0.029	24.8802	24.9402
-0.028	26.0305	26.1051
-0.027	27.4123	27.5036
-0.026	29.0613	29.1724
-0.025	31.0183	31.1518
-0.024	33.326	33.4857
-0.023	36.0325	36.2213
-0.022	39.1872	39.4086
-0.021	42.8426	43.1004
-0.02	47.0539	47.3514
-0.019	51.8772	52.2174
-0.018	57.3689	57.7551
-0.017	63.5856	64.0205
-0.016	70.5829	71.0683
-0.015	78.4124	78.9508
-0.014	87.123	87.7165
-0.013	96.7617	97.4094
-0.012	107.365	108.067
-0.011	118.966	119.721
-0.01	131.586	132.395
-0.009	145.245	146.102
-0.008	159.944	160.848
-0.007	175.683	176.629
-0.006	192.446	193.429
-0.005	210.209	211.225
-0.004	228.943	229.983
-0.003	248.599	249.66
-0.002	269.131	270.206
-0.001	290.48	291.565
3.46945e-17	312.591	313.673
0.001	335.387	336.465
0.002	358.807	359.875
0.003	382.783	383.835
0.004	407.255	408.28
0.005	432.147	433.149
0.006	457.41	458.388
0.007	483.003	483.952
0.008	508.886	509.802
0.009	535.035	535.916
0.01	561.432	562.281
0.011	588.082	588.9
0.012	615.016	615.792
0.013	642.235	642.992
0.014	669.821	670.553
0.015	697.844	698.548
0.016	726.385	727.068
0.017	755.552	756.226
0.018	785.51	786.158
0.019	816.37	817.023
0.02	848.367	849.01
0.021	881.663	882.335
0.022	916.592	917.252
0.023	953.362	954.056
0.024	992.362	993.09
0.025	1034.03	1034.76
0.026	1078.75	1079.53
0.027	1127.07	1127.97
0.028	1179.76	1180.72
0.029	1237.41	1238.53
0.03	1300.95	1302.27
0.031	1371.5	1372.89
0.032	1449.65	1451.4
0.033	1536.71	1538.82
0.034	1633.72	1636.07
0.035	1740.98	1743.82
0.036	1858.89	1862.33
0.037	1987.31	1991.19
0.038	2124.42	2129.12
0.039	2268.55	2273.7
0.04	2415.23	2421.22
0.041	2560.62	2566.63
0.042	2695.95	2703.56
0.043	2816.8	2824.65
0.044	2915.34	2922
0.045	2982.25	2987.78
0.046	3008.94	3015.01
0.047	2993.17	2998.34
0.048	2931.79	2934.74
0.049	2822.17	2823.97
0.05	2668.86	2668.87
0.051	2477.05	2475.13
0.052	2252.74	2250.93
0.053	2009.56	2006.13
0.054	1755.21	1751.37
0.055	1503.16	1497.15
0.056	1258.32	1252.9
0.057	1032.76	1026.34
0.058	828.691	823.062
0.059	651.235	646.369
0.06	502.582	497.417
0.061	379.925	375.532
0.062	282.162	278.651
0.063	206.563	203.806
0.064	150.11	147.58
0.065	108.193	106.49
0.066	78.6152	77.2665
0.067	58.0307	57.033
0.068	44.0571	43.3909
0.069	34.8838	34.4313
0.07	28.9823	28.6976
0.071	25.317	25.1214
0.072	23.0802	22.9467
0.073	21.7349	21.657
0.074	20.9588	20.9109
0.075	20.5188	20.4896
0.076	20.2746	20.2575
0.077	20.1421	20.1325
0.078	20.0723	20.0667
0.079	20.0358	20.0329
0.08	20.0175	20.0159
0.081	20.0084	20.0076
0.082	20.004	20.0035
0.083	20.0018	20.0016
0.084	20.0008	20.0007
0.085	20.0004	20.0003
0.086	20.0002	20.0001
0.087	20.0001	20.0001
0.088	20	20
0.089	20	20
0.09	20	20
0.091	20	20
0.092	20	20
0.093	20	20
0.094	20	20
0.095	20	20
0.096	20	20
0.097	20	20
0.098	20	20
0.099	20	20
0.1	20	20
0.101	20	20
0.102	20	20
0.103	20	20
0.104	20	20
0.105	20	20
0.106	20	20
0.107	20	20
0.108	20	20
0.109	20	20
0.11	20	20
0.111	20	20
0.112	20	20
0.113	20	20
0.114	20	20
0.115	20	20
0.116	20	20
0.117	20	20
0.118	20	20
0.119	20	20
0.12	20	20
0.121	20	20
0.122	20	20
0.123	20	20
0.124	20	20
0.125	20	20
0.126	20	20
0.127	20	20
0.128	20	20
0.129	20	20
0.13	20	20
0.131	20	20
0.132	20	20
0.133	20	20
0.134	20	20
0.135	20	20
0.136	20	20
0.137	20	20
0.138	20	20
0.139	20	20
0.14	20	20
0.141	20	20
0.142	20	20
0.143	20	20
0.144	20	20
0.145	20	20
0.146	20	20
0.147	20	20
0.148	20	20
0.149	20	20
