#Time	Computed	Exact
0.025	20.0003	20.0004
0.05	20.0007	20.0007
0.075	20.001	20.001
0.1	20.0014	20.0014
0.125	20.0017	20.0017
0.15	20.0021	20.002
0.175	20.0025	20.0024
0.2	20.0029	20.0028
0.225	20.0033	20.0032
0.25	20.0037	20.0036
0.275	20.0042	20.0041
0.3	20.0047	20.0046
0.325	20.0052	20.0051
0.35	20.0058	20.0056
0.375	20.0064	20.0062
0.4	20.007	20.0068
0.425	20.0077	20.0075
0.45	20.0084	20.0082
0.475	20.0092	20.0089
0.5	20.01	20.0097
0.525	20.0108	20.0106
0.55	20.0118	20.0114
0.575	20.0127	20.0124
0.6	20.0138	20.0134
0.625	20.0149	20.0145
0.65	20.016	20.0156
0.675	20.0173	20.0168
0.7	20.0186	20.0181
0.725	20.02	20.0194
0.75	20.0214	20.0209
0.775	20.023	20.0224
0.8	20.0247	20.024
0.825	20.0265	20.0257
0.85	20.0283	20.0276
0.875	20.0303	20.0295
0.9	20.0324	20.0315
0.925	20.0347	20.0337
0.95	20.037	20.036
0.975	20.0395	20.0385
1	20.0422	20.041
1.025	20.045	20.0438
1.05	20.048	20.0467
1.075	20.0511	20.0498
1.1	20.0544	20.053
1.125	20.058	20.0564
1.15	20.0617	20.0601
1.175	20.0656	20.0639
1.2	20.0698	20.068
1.225	20.0742	20.0723
1.25	20.0789	20.0768
1.275	20.0838	20.0816
1.3	20.089	20.0867
1.325	20.0944	20.092
1.35	20.1002	20.0977
1.375	20.1063	20.1036
1.4	20.1128	20.1099
1.425	20.1196	20.1166
1.45	20.1268	20.1236
1.475	20.1344	20.131
1.5	20.1423	20.1388
1.525	20.1508	20.147
1.55	20.1596	20.1557
1.575	20.169	20.1648
1.6	20.1789	20.1744
1.625	20.1893	20.1846
1.65	20.2002	20.1953
1.675	20.2117	20.2066
1.7	20.2239	20.2184
1.725	20.2367	20.2309
1.75	20.2501	20.2441
1.775	20.2643	20.2579
1.8	20.2792	20.2725
1.825	20.2948	20.2878
1.85	20.3113	20.304
1.875	20.3287	20.3209
1.9	20.3469	20.3388
1.925	20.3661	20.3575
1.95	20.3862	20.3773
1.975	20.4074	20.398
2	20.4296	20.4198
2.025	20.453	20.4427
2.05	20.4775	20.4667
2.075	20.5033	20.4919
2.1	20.5304	20.5185
2.125	20.5588	20.5463
2.15	20.5886	20.5755
2.175	20.6199	20.6062
2.2	20.6527	20.6384
2.225	20.6872	20.6722
2.25	20.7233	20.7076
2.275	20.7612	20.7447
2.3	20.8009	20.7837
2.325	20.8426	20.8246
2.35	20.8862	20.8674
2.375	20.932	20.9123
2.4	20.9799	20.9593
2.425	21.0301	21.0086
2.45	21.0827	21.0602
2.475	21.1378	21.1143
2.5	21.1955	21.1709
2.525	21.2559	21.2302
2.55	21.3191	21.2923
2.575	21.3853	21.3573
2.6	21.4545	21.4252
2.625	21.5269	21.4964
2.65	21.6026	21.5708
2.675	21.6819	21.6486
2.7	21.7647	21.7301
2.725	21.8513	21.8152
2.75	21.9419	21.9042
2.775	22.0365	21.9972
2.8	22.1354	22.0944
2.825	22.2387	22.196
2.85	22.3466	22.3021
2.875	22.4593	22.4129
2.9	22.577	22.5287
2.925	22.6999	22.6496
2.95	22.8281	22.7758
2.975	22.962	22.9076
3	23.1018	23.0451
3.025	23.2475	23.1886
3.05	23.3996	23.3383
3.075	23.5583	23.4944
3.1	23.7237	23.6573
3.125	23.8962	23.8271
3.15	24.076	24.0042
3.175	24.2634	24.1888
3.2	24.4588	24.3812
3.225	24.6623	24.5818
3.25	24.8744	24.7907
3.275	25.0953	25.0083
3.3	25.3253	25.235
3.325	25.5649	25.4711
3.35	25.8143	25.7169
3.375	26.0739	25.9728
3.4	26.3441	26.2392
3.425	26.6252	26.5164
3.45	26.9178	26.8049
3.475	27.2221	27.105
3.5	27.5386	27.4171
3.525	27.8677	27.7418
3.55	28.2099	28.0794
3.575	28.5657	28.4303
3.6	28.9354	28.7952
3.625	29.3197	29.1744
3.65	29.7189	29.5684
3.675	30.1337	29.9777
3.7	30.5645	30.403
3.725	31.0119	30.8447
3.75	31.4765	31.3034
3.775	31.9587	31.7796
3.8	32.4594	32.2739
3.825	32.9789	32.787
3.85	33.518	33.3195
3.875	34.0773	33.872
3.9	34.6575	34.4452
3.925	35.2592	35.0396
3.95	35.8831	35.6562
3.975	36.53	36.2954
4	37.2006	36.9581
4.025	37.8955	37.645
4.05	38.6157	38.3569
4.075	39.3619	39.0946
4.1	40.1349	39.8588
4.125	40.9354	40.6504
4.15	41.7645	41.4702
4.175	42.6229	42.3191
4.2	43.5115	43.198
4.225	44.4312	44.1078
4.25	45.383	45.0494
4.275	46.3679	46.0237
4.3	47.3867	47.0318
4.325	48.4405	48.0745
4.35	49.5303	49.153
4.375	50.6571	50.2683
4.4	51.8221	51.4213
4.425	53.0262	52.6133
4.45	54.2707	53.8453
4.475	55.5566	55.1184
4.5	56.885	56.4338
4.525	58.2573	57.7926
4.55	59.6744	59.1961
4.575	61.1378	60.6455
4.6	62.6487	62.142
4.625	64.2082	63.6869
4.65	65.8178	65.2815
4.675	67.4786	66.9271
4.7	69.1922	68.625
4.725	70.9598	70.3766
4.75	72.7829	72.1834
4.775	74.6629	74.0466
4.8	76.6011	75.9678
4.825	78.5991	77.9485
4.85	80.6585	79.99
4.875	82.7806	82.094
4.9	84.967	84.262
4.925	87.2193	86.4955
4.95	89.5391	88.7961
4.975	91.9281	91.1654
5	94.3877	93.6051
5.025	96.9198	96.1168
5.05	99.5259	98.7023
5.075	102.208	101.363
5.1	104.967	104.101
5.125	107.806	106.918
5.15	110.726	109.816
5.175	113.729	112.796
5.2	116.816	115.86
5.225	119.99	119.01
5.25	123.252	122.249
5.275	126.605	125.577
5.3	130.049	128.997
5.325	133.588	132.511
5.35	137.223	136.12
5.375	140.956	139.827
5.4	144.789	143.634
5.425	148.723	147.542
5.45	152.762	151.554
5.475	156.907	155.672
5.5	161.16	159.897
5.525	165.523	164.232
5.55	169.998	168.678
5.575	174.587	173.239
5.6	179.293	177.915
5.625	184.118	182.71
5.65	189.063	187.625
5.675	194.13	192.663
5.7	199.323	197.824
5.725	204.643	203.113
5.75	210.091	208.53
5.775	215.672	214.079
5.8	221.385	219.76
5.825	227.235	225.577
5.85	233.222	231.532
5.875	239.349	237.626
5.9	245.619	243.862
5.925	252.032	250.242
5.95	258.593	256.769
5.975	265.302	263.443
6	272.162	270.269
6.025	279.175	277.247
6.05	286.343	284.38
6.075	293.668	291.67
6.1	301.153	299.119
6.125	308.799	306.729
6.15	316.609	314.503
6.175	324.584	322.442
6.2	332.727	330.549
6.225	341.04	338.825
6.25	349.525	347.273
6.275	358.184	355.895
6.3	367.018	364.692
6.325	376.03	373.667
6.35	385.222	382.821
6.375	394.595	392.157
6.4	404.152	401.676
6.425	413.894	411.381
6.45	423.822	421.272
6.475	433.94	431.352
6.5	444.248	441.623
6.525	454.749	452.085
6.55	465.443	462.742
6.575	476.333	473.594
6.6	487.419	484.643
6.625	498.704	495.891
6.65	510.189	507.338
6.675	521.875	518.987
6.7	533.764	530.839
6.725	545.857	542.895
6.75	558.155	555.156
6.775	570.659	567.624
6.8	583.371	580.299
6.825	596.292	593.183
6.85	609.421	606.277
6.875	622.762	619.582
6.9	636.313	633.098
6.925	650.076	646.826
6.95	664.053	660.768
6.975	678.242	674.923
7	692.646	689.292
7.025	707.264	703.877
7.05	722.096	718.676
7.075	737.144	733.691
7.1	752.407	748.922
7.125	767.885	764.369
7.15	783.579	780.032
7.175	799.489	795.911
7.2	815.614	812.006
7.225	831.954	828.316
7.25	848.508	844.843
7.275	865.278	861.584
7.3	882.261	878.54
7.325	899.457	895.709
7.35	916.867	913.093
7.375	934.488	930.689
7.4	952.32	948.496
7.425	970.362	966.514
7.45	988.612	984.742
7.475	1007.07	1003.18
7.5	1025.74	1021.82
7.525	1044.61	1040.67
7.55	1063.68	1059.73
7.575	1082.95	1078.98
7.6	1102.43	1098.44
7.625	1122.1	1118.1
7.65	1141.97	1137.95
7.675	1162.03	1158
7.7	1182.29	1178.24
7.725	1202.73	1198.67
7.75	1223.36	1219.29
7.775	1244.18	1240.1
7.8	1265.18	1261.09
7.825	1286.35	1282.26
7.85	1307.71	1303.6
7.875	1329.23	1325.13
7.9	1350.93	1346.82
7.925	1372.79	1368.68
7.95	1394.82	1390.71
7.975	1417.01	1412.89
8	1439.35	1435.24
8.025	1461.85	1457.74
8.05	1484.49	1480.39
8.075	1507.28	1503.18
8.1	1530.22	1526.12
8.125	1553.29	1549.2
8.15	1576.49	1572.41
8.175	1599.82	1595.75
8.2	1623.27	1619.22
8.225	1646.85	1642.81
8.25	1670.53	1666.51
8.275	1694.33	1690.33
8.3	1718.24	1714.25
8.325	1742.24	1738.27
8.35	1766.34	1762.4
8.375	1790.53	1786.61
8.4	1814.8	1810.91
8.425	1839.16	1835.29
8.45	1863.58	1859.74
8.475	1888.08	1884.27
8.5	1912.63	1908.85
8.525	1937.25	1933.5
8.55	1961.91	1958.2
8.575	1986.62	1982.95
8.6	2011.37	2007.74
8.625	2036.16	2032.56
8.65	2060.96	2057.41
8.675	2085.79	2082.29
8.7	2110.64	2107.18
8.725	2135.49	2132.07
8.75	2160.34	2156.98
8.775	2185.19	2181.88
8.8	2210.02	2206.77
8.825	2234.84	2231.64
8.85	2259.63	2256.49
8.875	2284.39	2281.31
8.9	2309.1	2306.09
8.925	2333.78	2330.82
8.95	2358.39	2355.51
8.975	2382.95	2380.13
9	2407.43	2404.69
9.025	2431.85	2429.18
9.05	2456.17	2453.59
9.075	2480.41	2477.9
9.1	2504.54	2502.12
9.125	2528.57	2526.24
9.15	2552.48	2550.24
9.175	2576.27	2574.12
9.2	2599.92	2597.88
9.225	2623.43	2621.49
9.25	2646.79	2644.96
9.275	2669.99	2668.28
9.3	2693.02	2691.43
9.325	2715.88	2714.4
9.35	2738.54	2737.19
9.375	2761	2759.78
9.4	2783.25	2782.17
9.425	2805.27	2804.34
9.45	2827.06	2826.29
9.475	2848.6	2847.99
9.5	2869.87	2869.43
9.525	2890.86	2890.61
9.55	2911.57	2911.49
9.575	2931.95	2932.08
9.6	2952.01	2952.35
9.625	2971.72	2972.27
9.65	2991.05	2991.84
9.675	3009.99	3011.02
9.7	3028.51	3029.79
9.725	3046.57	3048.12
9.75	3064.14	3065.98
9.775	3081.19	3083.34
9.8	3097.68	3100.15
9.825	3113.56	3116.36
9.85	3128.79	3131.93
9.875	3143.29	3146.8
9.9	3157.02	3160.91
9.925	3169.88	3174.17
9.95	3181.79	3186.49
9.975	3192.65	3197.79
10	3202.33	3207.95
10.025	3210.74	3216.82
10.05	3217.74	3224.26
10.075	3223.22	3230.15
10.1	3227.07	3234.4
10.125	3229.19	3236.92
10.15	3229.53	3237.64
10.175	3228.03	3236.5
10.2	3224.67	3233.48
10.225	3219.43	3228.54
10.25	3212.3	3221.69
10.275	3203.29	3212.92
10.3	3192.42	3202.27
10.325	3179.73	3189.76
10.35	3165.26	3175.45
10.375	3149.08	3159.4
