#Time	Computed	Exact
8.1	25.7448	24.9449
8.125	26.423	25.5539
8.15	27.1804	26.2368
8.175	28.0259	27.0021
8.2	28.9693	27.8593
8.225	30.0214	28.8189
8.25	31.1941	29.8924
8.275	32.5003	31.0925
8.3	33.9543	32.433
8.325	35.5715	33.9291
8.35	37.369	35.5974
8.375	39.3651	37.4561
8.4	41.5798	39.5249
8.425	44.0347	41.825
8.45	46.7531	44.3796
8.475	49.7602	47.2136
8.5	53.0829	50.3538
8.525	56.7501	53.8291
8.55	60.7926	57.67
8.575	65.2433	61.9096
8.6	70.137	66.5826
8.625	75.5104	71.7259
8.65	81.4023	77.3785
8.675	87.8533	83.5814
8.7	94.9059	90.3774
8.725	102.604	97.8112
8.75	110.994	105.929
8.775	120.123	114.779
8.8	130.039	124.41
8.825	140.792	134.873
8.85	152.431	146.219
8.875	165.007	158.499
8.9	178.571	171.765
8.925	193.173	186.068
8.95	208.861	201.461
8.975	225.685	217.991
9	243.691	235.707
9.025	262.922	254.655
9.05	283.42	274.879
9.075	305.222	296.417
9.1	328.363	319.305
9.125	352.871	343.575
9.15	378.771	369.252
9.175	406.08	396.357
9.2	434.811	424.903
9.225	464.968	454.897
9.25	496.549	486.339
9.275	529.543	519.219
9.3	563.932	553.519
9.325	599.687	589.215
9.35	636.773	626.27
9.375	675.143	664.639
9.4	714.742	704.268
9.425	755.506	745.093
9.45	797.36	787.04
9.475	840.223	830.027
9.5	884.003	873.961
9.525	928.6	918.742
9.55	973.907	964.262
9.575	1019.81	1010.4
9.6	1066.19	1057.05
9.625	1112.91	1104.07
9.65	1159.86	1151.32
9.675	1206.9	1198.69
9.7	1253.89	1246.03
9.725	1300.7	1293.2
9.75	1347.2	1340.07
9.775	1393.27	1386.5
9.8	1438.77	1432.38
9.825	1483.6	1477.58
9.85	1527.64	1521.99
9.875	1570.81	1565.51
9.9	1613.02	1608.07
9.925	1654.21	1649.58
9.95	1694.33	1690.02
9.975	1733.38	1729.34
10	1771.36	1767.55
10.025	1808.27	1804.69
10.05	1844.14	1840.81
10.075	1879.03	1875.94
10.1	1912.98	1910.12
10.125	1946.03	1943.38
10.15	1978.21	1975.75
10.175	2009.53	2007.27
10.2	2040.02	2037.95
10.225	2069.7	2067.82
10.25	2098.6	2096.9
10.275	2126.73	2125.21
10.3	2154.11	2152.77
10.325	2180.76	2179.58
10.35	2206.68	2205.68
10.375	2231.91	2231.06
10.4	2256.44	2255.75
10.425	2280.28	2279.75
10.45	2303.46	2303.08
10.475	2325.98	2325.75
10.5	2347.85	2347.76
10.525	2369.08	2369.13
10.55	2389.68	2389.87
10.575	2409.65	2409.98
10.6	2429.01	2429.47
10.625	2447.76	2448.35
10.65	2465.92	2466.63
10.675	2483.47	2484.31
10.7	2500.45	2501.41
10.725	2516.84	2517.92
10.75	2532.66	2533.86
10.775	2547.91	2549.23
10.8	2562.61	2564.03
10.825	2576.74	2578.28
10.85	2590.33	2591.98
10.875	2603.38	2605.13
10.9	2615.89	2617.74
10.925	2627.86	2629.81
10.95	2639.31	2641.36
10.975	2650.24	2652.39
11	2660.65	2662.9
11.025	2670.56	2672.89
11.05	2679.95	2682.38
11.075	2688.85	2691.37
11.1	2697.26	2699.86
11.125	2705.18	2707.86
11.15	2712.61	2715.38
11.175	2719.57	2722.42
11.2	2726.05	2728.98
11.225	2732.07	2735.07
11.25	2737.62	2740.7
11.275	2742.72	2745.87
11.3	2747.37	2750.59
11.325	2751.58	2754.86
11.35	2755.34	2758.69
11.375	2758.67	2762.09
11.4	2761.57	2765.05
11.425	2764.05	2767.59
11.45	2766.11	2769.71
11.475	2767.76	2771.42
11.5	2769.01	2772.71
11.525	2769.85	2773.61
11.55	2770.3	2774.11
11.575	2770.36	2774.22
11.6	2770.03	2773.94
11.625	2769.33	2773.29
11.65	2768.26	2772.26
11.675	2766.83	2770.87
11.7	2765.03	2769.11
11.725	2762.88	2767
11.75	2760.38	2764.54
11.775	2757.55	2761.73
11.8	2754.37	2758.59
11.825	2750.87	2755.12
11.85	2747.04	2751.32
11.875	2742.9	2747.21
11.9	2738.44	2742.78
11.925	2733.68	2738.04
11.95	2728.62	2733
11.975	2723.26	2727.67
12	2717.62	2722.05
12.025	2711.7	2716.14
12.05	2705.51	2709.96
12.075	2699.04	2703.51
